id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
18763,K41U,small_airport,Manti-Ephraim Airport,39.32910156,-111.6149979,5500,NA,US,US-UT,Manti,no,41U,NTJ,41U
18775,K43U,closed,Mount Pleasant Airport,39.526651,-111.475978,5830,NA,US,US-UT,Mount Pleasant,no,,MSD,
18779,K44U,small_airport,Salina Gunnison Airport,39.02909851,-111.8379974,5159,NA,US,US-UT,Salina,no,44U,SBO,44U
18788,K47N,small_airport,Central Jersey Regional Airport,40.5243988,-74.5983963,86,NA,US,US-NJ,Manville,no,47N,JVI,47N
18847,K4R7,small_airport,Eunice Airport,30.46629906,-92.42379761,42,NA,US,US-LA,Eunice,no,4R7,UCE,4R7
18849,K4S1,small_airport,Gold Beach Municipal Airport,42.41339874,-124.4240036,20,NA,US,US-OR,Gold Beach,no,K4S1,GOL,4S1
18866,K50I,small_airport,Kentland Municipal Airport,40.75870132,-87.42819977,698,NA,US,US-IN,Kentland,no,50I,KKT,50I
18917,K5N2,small_airport,Prentice Airport,45.542999,-90.279297,1578,NA,US,US-WI,Prentice,no,,PRW,5N2
18930,K5T9,small_airport,Maverick County Memorial International Airport,28.85720062,-100.512001,887,NA,US,US-TX,Eagle Pass,no,,EGP,5T9
18945,K61B,medium_airport,Boulder City-Lake Mead International Airport,35.94749832,-114.8610001,2201,NA,US,US-NV,Boulder City,no,KBVU,BLD,BVU
18966,K67L,medium_airport,Mesquite International Airport,36.83499908,-114.0550003,1978,NA,US,US-NV,Mesquite,no,,MFH,67L
18982,K6D9,small_airport,Iosco County Airport,44.312801,-83.422302,606,NA,US,US-MI,East Tawas,no,,ECA,6D9
19010,K6S2,small_airport,Florence Municipal Airport,43.98279953,-124.1110001,51,NA,US,US-OR,Florence,no,,FMU,6S2
19030,K74S,small_airport,Anacortes Airport,48.499,-122.662003,241,NA,US,US-WA,Anacortes,no,,OTS,74S
19031,K74V,small_airport,Roosevelt Municipal Airport,40.278301,-110.051003,5172,NA,US,US-UT,Roosevelt,no,,ROL,74V
19060,K7G9,small_airport,Canton Municipal Airport,43.308899,-96.570999,1290,NA,US,US-SD,Canton,no,,CTK,7G9
19083,K7V2,small_airport,North Fork Valley Airport,38.83169937,-107.6460037,5798,NA,US,US-CO,Paonia,no,K7V2,WPO,7V2
19094,K80F,small_airport,Antlers Municipal Airport,34.19260025,-95.64990234,575,NA,US,US-OK,Antlers,no,80F,ATE,80F
19117,K8A6,closed,Wilgrove Air Park,35.21379852,-80.67009735,799,NA,US,US-NC,Charlotte,no,,QWG,
19204,K9U3,small_airport,Austin Airport,39.467998,-117.195,5730,NA,US,US-NV,Austin,no,KTMT,ASQ,TMT
19224,KAAF,small_airport,Apalachicola Regional Airport,29.72750092,-85.02749634,20,NA,US,US-FL,Apalachicola,no,KAAF,AAF,AAF
3356,KABE,medium_airport,Lehigh Valley International Airport,40.65209961,-75.44080353,393,NA,US,US-PA,Allentown,yes,KABE,ABE,ABE
3357,KABI,medium_airport,Abilene Regional Airport,32.41130066,-99.68190002,1791,NA,US,US-TX,Abilene,yes,KABI,ABI,ABI
16091,KABQ,medium_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,NA,US,US-NM,Albuquerque,yes,KABQ,ABQ,ABQ
3358,KABR,medium_airport,Aberdeen Regional Airport,45.44910049,-98.42179871,1302,NA,US,US-SD,Aberdeen,yes,KABR,ABR,ABR
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.53549957,-84.19450378,197,NA,US,US-GA,Albany,yes,KABY,ABY,ABY
19228,KACB,small_airport,Antrim County Airport,44.988602,-85.198402,623,NA,US,US-MI,Bellaire,no,KACB,ACB,ACB
